Date,Time,Obs,Qflag,Tree,Age Class,SLA,Na,Pa,Press,PARi,Cond,Ci,Photo,Trmmol,VpdL,StmRat,BLCond,Tair,TBlk,Tleaf,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow
13/02/2002,18:15,54.5,1,6,1,4.833,1.678,0.257,87.66,250,0.22025,293.25,6.54,2.595,1.08,1,2.84,26.005,26.1625,24.4875,359.4,350.45,19.8045,22.8505,51.435,59.345,499.975
13/02/2002,18:24,66.5,1,6,1,4.843,1.715,0.168,87.65,250,0.2395,294.5,6.93,2.9625,1.14,1,2.84,25.9075,26.1975,24.7725,360.3,350.925,19.30975,22.78475,50.4275,59.4975,499.725
13/02/2002,18:32,74.5,1,6,1,4.64,2.857,0.336,87.6575,250,0.0429,224.25,3.31,0.635,1.28,1,2.84,24.7475,24.955,24.025,360.325,356.1,18.85975,19.6075,52.7775,54.8725,499.6
13/02/2002,18:35,78.5,1,6,1,4.696,2.506,0.188,87.66,250,0.026825,237.5,1.8625,0.40375,1.2975,1,2.84,24.595,24.6875,23.9275,359.2,356.825,18.74975,19.225,52.9525,54.295,500.025
14/02/2002,8:17,26.5,1,2,1,4.068,3.289,0.399,86.8775,400,0.45425,288.75,11.825,5.505,1.18,1,2.84,27.31,27.79,25.295,359.7,343.25,17.18975,23.631,40.9725,56.33,500.45
14/02/2002,9:23,2.5,1,2,1,4.068,3.289,0.399,86.89,1500,0.4045,258,16.25,5.6075,1.33,1,2.84,28.595,29.085,27.65,359.2,337.45,20.96325,27.5045,46.3525,60.82,500.15
14/02/2002,8:23,34.5,1,2,1,4.306,2.731,0.319,86.8775,400,0.419,281.75,12.6,5.33,1.23,1,2.84,27.7275,28.3,25.6825,360.7,343.375,17.732,23.96925,41.245,55.7525,500.375
14/02/2002,8:30,42.5,1,2,1,4.315,3.281,0.373,86.8775,400,0.464,283.25,13.15,5.8375,1.23,1,2.84,28.18,28.685,26.205,360.35,342.15,18.33975,25.15925,41.5525,56.9975,500.475
14/02/2002,9:27,6.5,1,2,1,4.315,3.281,0.373,86.8925,1499,0.45775,257.25,18.375,5.8375,1.24,1,2.84,28.48,28.98,27.405,361.675,337.05,21.09425,27.90225,46.9675,62.1225,500.175
14/02/2002,8:40,50.5,1,2,1,4.185,3.353,0.438,86.8725,399,0.43975,275.5,13.925,5.7275,1.26,1,2.84,28.68,29.22,26.5925,359.325,340.275,18.98625,25.68475,41.7825,56.5275,499.25
14/02/2002,9:54,18.5,1,1,1,4.71,3.922,0.327,86.89,1501,0.45525,275.75,14.4,6.09,1.3,1,2.84,28.0975,28.45,27.3425,360.475,340.825,19.8935,27.02175,45.2975,61.5225,499.225
14/02/2002,9:56,22.5,1,1,1,5.34,3.089,0.333,86.885,1500,0.452,279.25,13.775,6.12,1.3175,1,2.84,28.0525,28.4075,27.28,360.975,341.975,19.59825,26.75425,44.73,61.06,499.375
14/02/2002,10:54,6.5,1,1,1,4.56,3.2,0.265,86.9125,1500,0.53825,263.25,18.35,8.3025,1.5375,1,2.84,30.3125,30.5425,28.7275,360.65,335.325,18.191,27.8675,36.45,55.8425,500.4
14/02/2002,11:01,14.5,1,1,1,4.992,3.135,0.267,86.915,1500,0.435,278.5,12.625,8.205,1.8175,1,2.84,31.1625,31.43,29.925,360.25,341.8,18.3145,27.8745,34.9575,53.2075,500.7
14/02/2002,11:25,ac3,1,2,1,4.036,3.475,0.453,86.91857143,1501,0.209,243.1428571,11.24285714,4.267142857,1.838571429,1,2.84,29.20142857,29.52,29.02,359.9,344.6285714,20.18342857,25.18471429,43.11,53.79428571,499.3428571
14/02/2002,12:18,18.5,1,1,1,3.948,3.634,0.521,86.91,199,0.22525,303,5.625,2.9075,1.175,1,2.84,25.615,25.87,24.475,360.725,352.725,18.49825,21.91625,48.7375,57.735,499.625
14/02/2002,12:37,42.5,1,2,1,4.234,3.331,0.231,86.89,200,0.23975,307.25,5.3775,3.1175,1.19,1,2.84,25.4075,25.675,24.13,361.125,353.325,17.3535,21.02375,46.285,56.0625,499.525
14/02/2002,14:12,10.5,1,1,1,4.185,2.943,0.215,86.8325,301,0.376,290.5,9.91,5.1875,1.3175,1,2.84,26.93,27.27,25.255,359.225,344.975,15.943,22.02475,38.835,53.645,500.7
14/02/2002,14:24,26.5,1,1,1,4.657,2.867,0.248,86.83,300,0.3315,289,9.545,4.6025,1.3075,1,2.84,26.1125,26.4125,24.655,360.65,347.4,15.42775,20.8365,39.435,53.265,499.5
